k=5 type 108: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 109: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 110: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 111: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 112: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 113: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 114: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 1], [1, -1, 0, 0, -1], [1, 0, 0, 0, 0])
k=5 type 115: YES ([0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, 0, -1], [1, 0, 0, 0, 0])
k=5 type 116: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 117: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 118: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 119: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 120: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 121: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 122: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 123: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 124: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 125: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 126: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 127: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 128: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 129: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 130: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 0, 1, 0], [1, 0, -1, 1, 0])
k=5 type 131: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 132: YES ([0, 0, 0, 0, 1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, -1, 1], [1, 0, 0, 0, 0])
k=5 type 133: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 1], [1, 0, 1, -1, 1])
k=5 type 134: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 1, -1], [1, -1, 0, -1, 1], [1, 0, 0, 0, 0])
k=5 type 135: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 136: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 1, -1], [1, -1, 0, -1, 1], [1, 0, 0, 0, 0])
